"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 26 20:34:07 CST 2021","Wed May 26 20:34:11 CST 2021","3088","testCase.testMysql","testExtRuleSQL","TestExtRuleSQL","","","新增拓展规则_时间段-搜索并替换字符串测试",""
"passed","Wed May 26 20:33:20 CST 2021","Wed May 26 20:33:20 CST 2021","48","testCase.testMysql","testSQL","TestMaskRule","","","SQL语法_orderBy测试",""
"passed","Wed May 26 20:33:48 CST 2021","Wed May 26 20:33:51 CST 2021","3082","testCase.testMysql","testExtRuleSQL","TestExtRuleSQL","","","新增拓展规则_表名-替换SQL测试",""
"passed","Wed May 26 20:33:19 CST 2021","Wed May 26 20:33:20 CST 2021","195","testCase.testMysql","testSQL","TestMaskRule","","","SQL语法_where后面加各种条件测试",""
"passed","Wed May 26 20:32:17 CST 2021","Wed May 26 20:32:18 CST 2021","192","testCase.testMysql","testSenDataFind","TestSenDataFind","","","任务配置获取所有Schema测试",""
"passed","Wed May 26 20:32:14 CST 2021","Wed May 26 20:32:15 CST 2021","282","testCase.testMysql","testDatasourceManage","TestDatasourceManage","","","添加mysql数据源测试",""
"passed","Wed May 26 20:33:44 CST 2021","Wed May 26 20:33:48 CST 2021","3118","testCase.testMysql","testExtRuleSQL","TestExtRuleSQL","","","新增拓展规则_表名-搜索并替换字符串测试",""
"passed","Wed May 26 20:34:28 CST 2021","Wed May 26 20:34:39 CST 2021","11323","testCase.testMysql","testExtRule","TestExtRuleSQL","","","拓展规则批量启用测试",""
"passed","Wed May 26 20:33:19 CST 2021","Wed May 26 20:33:19 CST 2021","35","testCase.testMysql","testSQL","TestMaskRule","","","SQL语法_distinct/distinctrow测试",""
"passed","Wed May 26 20:33:20 CST 2021","Wed May 26 20:33:20 CST 2021","19","testCase.testMysql","testSQL","TestMaskRule","","","SQL语法_groupBy测试",""
"passed","Wed May 26 20:32:17 CST 2021","Wed May 26 20:32:17 CST 2021","114","testCase.testMysql","testSenDataFind","TestSenDataFind","","","任务配置获取数据类型列表测试",""
"passed","Wed May 26 20:32:21 CST 2021","Wed May 26 20:32:21 CST 2021","129","testCase.testMysql","testMaskRules","TestMaskRules","","","查看规则列表测试",""
"passed","Wed May 26 20:33:20 CST 2021","Wed May 26 20:33:20 CST 2021","22","testCase.testMysql","testSQL","TestMaskRule","","","SQL语法_Having测试",""
